packet_id,timestamp,src_ip,dst_ip,protocol_name,raw_length,raw_sport,raw_dport,length,sport,dport,is_tls,protocol,has_payload,tcp_flags,udp_flag,icmp_flag,entropy,anomaly,anomaly_score,anomaly_types,confidence_scores
1,1145869455.842911,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,74,38713,443,74,38713,443,0,6,1,2,0,0,4.184835386734318,-1,-0.08880844105653929,UNKNOWN_BEHAVIORAL_ANOMALY,UNKNOWN_BEHAVIORAL_ANOMALY:38.9%
2,1145869455.842932,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,74,443,38713,74,443,38713,0,6,1,18,0,0,4.552153720356114,1,0.02627695480139447,,
3,1145869455.842948,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.529404083726071,1,0.14668376835985192,,
4,1145869455.843069,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,171,38713,443,171,38713,443,0,6,1,24,0,0,4.506754143099931,1,0.001507561157255699,,
5,1145869455.843089,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,443,38713,66,443,38713,0,6,1,16,0,0,4.477674161881978,1,0.06219294649767659,,
6,1145869455.845071,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,995,443,38713,995,443,38713,0,6,1,24,0,0,6.992594892994677,1,0.055937514186611415,,
7,1145869455.845520,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.477674161881978,1,0.12853300324711486,,
8,1145869458.651844,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,278,38713,443,278,38713,443,0,6,1,24,0,0,6.883088746841313,1,0.052466692045857743,,
9,1145869458.665681,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,141,443,38713,141,443,38713,0,6,1,24,0,0,6.031742652905592,1,0.0609660758550824,,
10,1145869458.665720,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.476425477915235,1,0.12703461267565613,,
11,1145869458.675982,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,503,38713,443,503,38713,443,0,6,1,24,0,0,7.50758594606763,1,0.1291544266166626,,
12,1145869458.716186,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,443,38713,66,443,38713,0,6,1,16,0,0,4.606327160649148,1,0.10558618209122561,,
13,1145869458.781396,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,103,443,38713,103,443,38713,0,6,1,24,0,0,5.546711652448409,1,0.03313917141140377,,
14,1145869458.781661,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,183,38713,443,183,38713,443,0,6,1,24,0,0,6.642342671238232,1,0.025147705535516818,,
15,1145869458.781672,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,443,38713,66,443,38713,0,6,1,16,0,0,4.606327160649148,1,0.10558618209122561,,
16,1145869458.781910,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,1073,443,38713,1073,443,38713,0,6,1,24,0,0,7.7907528732700815,1,0.06835606138065253,,
17,1145869458.782937,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,337,38713,443,337,38713,443,0,6,1,24,0,0,7.14557568992589,1,0.05897087826216374,,
18,1145869458.786317,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,172,443,38713,172,443,38713,0,6,1,24,0,0,6.274115894417226,1,0.07112445049577787,,
19,1145869458.787736,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,5756,443,38713,5756,443,38713,0,6,1,24,0,0,7.969723344191711,-1,-0.12198552379118499,JUMBO_PACKET_ATTACK; FRAGMENTATION_ATTACK; HIGH_PAYLOAD_ENTROPY,JUMBO_PACKET_ATTACK:82.2%; FRAGMENTATION_ATTACK:62.2%; HIGH_PAYLOAD_ENTROPY:82.2%
20,1145869458.787775,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.644788699110687,1,0.13472046426158946,,
21,1145869458.807335,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,471,38713,443,471,38713,443,0,6,1,24,0,0,7.4680934363666776,1,0.12215106832674832,,
22,1145869458.807483,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,74,38714,443,74,38714,443,0,6,1,2,0,0,4.184835386734318,-1,-0.09009999048732653,UNKNOWN_BEHAVIORAL_ANOMALY,UNKNOWN_BEHAVIORAL_ANOMALY:39.0%
23,1145869458.807499,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,74,443,38714,74,443,38714,0,6,1,18,0,0,4.552153720356114,-1,-0.003517642700263335,UNKNOWN_BEHAVIORAL_ANOMALY,UNKNOWN_BEHAVIORAL_ANOMALY:30.4%
24,1145869458.807509,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38714,443,66,38714,443,0,6,1,16,0,0,4.553348554838312,1,0.11880280506848123,,
25,1145869458.807721,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,186,38714,443,186,38714,443,0,6,1,24,0,0,5.799581219239515,-1,-0.022648768319657786,UNKNOWN_BEHAVIORAL_ANOMALY,UNKNOWN_BEHAVIORAL_ANOMALY:32.3%
26,1145869458.807730,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,443,38714,66,443,38714,0,6,1,16,0,0,4.553348554838312,1,0.020511735709108914,,
27,1145869458.835185,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,220,443,38714,220,443,38714,0,6,1,24,0,0,6.5640124232161385,1,0.02628778365123774,,
28,1145869458.835223,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38714,443,66,38714,443,0,6,1,16,0,0,4.424695556071143,1,0.10607191540885846,,
29,1145869458.835766,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,562,38714,443,562,38714,443,0,6,1,24,0,0,7.501446844314812,1,0.04035452586682875,,
30,1145869458.836412,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,596,443,38714,596,443,38714,0,6,1,24,0,0,7.565169668234928,1,0.11643453995045888,,
31,1145869458.836751,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,471,38714,443,471,38714,443,0,6,1,24,0,0,7.479598196932224,1,0.1099179603123348,,
32,1145869458.837090,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,1828,443,38714,1828,443,38714,0,6,1,24,0,0,7.886128929237064,-1,-0.0236163843861098,FRAGMENTATION_ATTACK; HIGH_PAYLOAD_ENTROPY,FRAGMENTATION_ATTACK:52.4%; HIGH_PAYLOAD_ENTROPY:72.4%
33,1145869458.847167,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,443,38713,66,443,38713,0,6,1,16,0,0,4.644788699110687,1,0.0664978178418898,,
34,1145869458.876161,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38714,443,66,38714,443,0,6,1,16,0,0,4.490942545264533,1,0.12318728194612272,,
35,1145869459.344554,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,588,443,38713,588,443,38713,0,6,1,24,0,0,7.590563880168449,1,0.14254991124808758,,
36,1145869459.349912,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,439,38714,443,439,38714,443,0,6,1,24,0,0,7.477078236281778,1,0.0857449387527699,,
37,1145869459.350452,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,580,443,38714,580,443,38714,0,6,1,24,0,0,7.577761106415662,1,0.11410040822905104,,
38,1145869459.350466,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38714,443,66,38714,443,0,6,1,16,0,0,4.439884429263502,1,0.11086101827996614,,
39,1145869459.384085,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.606327160649148,1,0.15418831011568773,,
40,1145869461.880791,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,511,38713,443,511,38713,443,0,6,1,24,0,0,7.450395867337422,1,0.12680464931075064,,
41,1145869461.880843,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,443,38713,66,443,38713,0,6,1,16,0,0,4.529404083726071,1,0.0931388965317076,,
42,1145869461.884096,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,644,443,38713,644,443,38713,0,6,1,24,0,0,7.627698840622186,1,0.13700549158662484,,
43,1145869461.884278,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.606327160649148,1,0.15418831011568773,,
44,1145869461.931854,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,511,38714,443,511,38714,443,0,6,1,24,0,0,7.448667443479461,1,0.07887862381726463,,
45,1145869461.953071,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,468,443,38714,468,443,38714,0,6,1,24,0,0,7.399901921916486,1,0.0822825014062476,,
46,1145869461.962806,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38714,443,66,38714,443,0,6,1,16,0,0,4.514887016376774,1,0.12324917258369333,,
47,1145869465.075497,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,511,38713,443,511,38713,443,0,6,1,24,0,0,7.490832731537525,1,0.13343468584357077,,
48,1145869465.078822,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,836,443,38713,836,443,38713,0,6,1,24,0,0,7.702841728588868,1,0.10390160854827518,,
49,1145869465.088198,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.644788699110687,1,0.13472046426158946,,
50,1145869465.161483,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,479,38713,443,479,38713,443,0,6,1,24,0,0,7.536198191118294,1,0.10903476415353924,,
51,1145869465.166406,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,479,38714,443,479,38714,443,0,6,1,24,0,0,7.489560608611302,1,0.10169412970821257,,
52,1145869465.170533,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,652,443,38713,652,443,38713,0,6,1,24,0,0,7.621647002779005,1,0.13894486984975557,,
53,1145869465.180221,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.606327160649148,1,0.15418831011568773,,
54,1145869465.170756,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,588,443,38714,588,443,38714,0,6,1,24,0,0,7.559930066709435,1,0.11867723746316,,
55,1145869465.180321,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38714,443,66,38714,443,0,6,1,16,0,0,4.606327160649148,1,0.09628715710129115,,
56,1145869468.199498,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,511,38713,443,511,38713,443,0,6,1,24,0,0,7.5752874666921794,1,0.0955398975019719,,
57,1145869468.211155,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,580,443,38713,580,443,38713,0,6,1,24,0,0,7.513691749242976,1,0.1369186879778556,,
58,1145869468.211338,00:00:00:00:00:00,00:00:00:00:00:00,Ethernet,66,38713,443,66,38713,443,0,6,1,16,0,0,4.543921151075368,1,0.14919328648889962,,
